9399,2,005887,3.20911,5.25,21
21
11875,3,007405,1.75,-8.33403,21
11875,4,007456,-0.934495,-9.1845,21
33469,5,020904,8.07179,0.178211,21
33469,6,021100,2.36582,1.75,51
45626,7,028793,-1.75,0.369475,21
45626,8,028868,-7.34294,0.907065,51
54195,9,034148,-2.21319,5.25,51
54195,10,034219,3.53406,4.71594,21
71224,11,044873,-5.34241,2.90759,21
71224,12,044931,-1.75,1.22204,21
71267,13,044809,3.75363,1.75,21
71267,14,044908,7.96341,0.286589,21
73031,15,046016,7.77878,-0.471219,21
73031,16,046028,5.25,0.0885969,21
73034,17,046029,1.75,0.611552,51
82688,18,052128,0.476086,8.72609,21
82688,19,052125,-1.75,7.47435,51
83245,20,052270,-2.27002,5.97998,51
83245,21,052486,-5.25,4.71638,21
83246,22,052273,1.75,7.80413,21
